Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:08:51;94;109;215;;;;;;;;;;;;;;;;
23/07/2023;00:08:53;58;109;216;;;;;;;;;;;;;;;;
23/07/2023;00:08:55;65;109;217;;;;;;;;;;;;;;;;
23/07/2023;00:08:58;87;109;218;;;;;;;;;;;;;;;;
23/07/2023;00:08:59;54;109;219;;;;;;;;;;;;;;;;
23/07/2023;00:09:01;84;109;220;;;;;;;;;;;;;;;;
23/07/2023;00:09:04;73;109;221;;;;;;;;;;;;;;;;
23/07/2023;00:09:05;42;109;222;;;;;;;;;;;;;;;;
23/07/2023;00:09:06;42;109;223;;;;;;;;;;;;;;;;
23/07/2023;00:09:08;61;109;224;;;;;;;;;;;;;;;;
23/07/2023;00:09:09;19;109;225;;;;;;;;;;;;;;;;
23/07/2023;00:09:11;64;109;226;;;;;;;;;;;;;;;;
23/07/2023;00:09:13;78;109;227;;;;;;;;;;;;;;;;
23/07/2023;00:09:15;58;109;228;;;;;;;;;;;;;;;;
23/07/2023;00:09:16;46;109;229;;;;;;;;;;;;;;;;
23/07/2023;00:09:18;63;109;230;;;;;;;;;;;;;;;;
23/07/2023;00:09:20;69;109;231;;;;;;;;;;;;;;;;
23/07/2023;00:09:22;80;109;232;;;;;;;;;;;;;;;;
23/07/2023;00:09:25;83;109;233;;;;;;;;;;;;;;;;
23/07/2023;00:09:27;58;109;234;;;;;;;;;;;;;;;;
23/07/2023;00:09:28;36;109;235;;;;;;;;;;;;;;;;
23/07/2023;00:09:31;70;109;236;;;;;;;;;;;;;;;;
23/07/2023;00:09:34;78;109;237;;;;;;;;;;;;;;;;
23/07/2023;00:09:36;69;109;238;;;;;;;;;;;;;;;;
23/07/2023;00:09:38;63;109;239;;;;;;;;;;;;;;;;
23/07/2023;00:09:41;91;109;240;;;;;;;;;;;;;;;;
23/07/2023;00:09:43;58;109;241;;;;;;;;;;;;;;;;
23/07/2023;00:09:45;74;109;242;;;;;;;;;;;;;;;;
23/07/2023;00:09:47;55;109;243;;;;;;;;;;;;;;;;
23/07/2023;00:09:49;81;109;244;;;;;;;;;;;;;;;;
23/07/2023;00:09:52;85;109;245;;;;;;;;;;;;;;;;
23/07/2023;00:09:53;44;109;246;;;;;;;;;;;;;;;;
23/07/2023;00:09:55;52;109;247;;;;;;;;;;;;;;;;
23/07/2023;00:09:58;82;109;248;;;;;;;;;;;;;;;;
23/07/2023;00:10:00;73;109;249;;;;;;;;;;;;;;;;
23/07/2023;00:10:02;69;109;250;;;;;;;;;;;;;;;;
23/07/2023;00:10:04;62;109;251;;;;;;;;;;;;;;;;
23/07/2023;00:10:06;60;109;252;;;;;;;;;;;;;;;;
23/07/2023;00:10:08;66;109;253;;;;;;;;;;;;;;;;
23/07/2023;00:10:12;93;109;254;;;;;;;;;;;;;;;;
23/07/2023;00:10:14;79;109;255;;;;;;;;;;;;;;;;
23/07/2023;00:10:15;50;109;256;;;;;;;;;;;;;;;;
23/07/2023;00:10:18;70;109;257;;;;;;;;;;;;;;;;
23/07/2023;00:10:19;58;109;258;;;;;;;;;;;;;;;;
23/07/2023;00:10:21;47;109;259;;;;;;;;;;;;;;;;
23/07/2023;00:10:22;58;109;260;;;;;;;;;;;;;;;;
23/07/2023;00:10:25;72;109;261;;;;;;;;;;;;;;;;
23/07/2023;00:10:28;85;109;262;;;;;;;;;;;;;;;;
23/07/2023;00:10:31;86;109;263;;;;;;;;;;;;;;;;
23/07/2023;00:10:31;24;109;264;;;;;;;;;;;;;;;;
23/07/2023;00:10:34;89;109;265;;;;;;;;;;;;;;;;
23/07/2023;00:10:37;79;109;266;;;;;;;;;;;;;;;;
23/07/2023;00:10:39;63;109;267;;;;;;;;;;;;;;;;
23/07/2023;00:10:41;59;109;268;;;;;;;;;;;;;;;;
23/07/2023;00:10:41;15;109;269;;;;;;;;;;;;;;;;
23/07/2023;00:10:43;61;109;270;;;;;;;;;;;;;;;;
23/07/2023;00:10:47;99;109;271;;;;;;;;;;;;;;;;
23/07/2023;00:10:49;65;109;272;;;;;;;;;;;;;;;;
23/07/2023;00:10:51;71;109;273;;;;;;;;;;;;;;;;
23/07/2023;00:10:53;84;109;274;;;;;;;;;;;;;;;;
23/07/2023;00:10:56;76;109;275;;;;;;;;;;;;;;;;
23/07/2023;00:10:58;61;109;276;;;;;;;;;;;;;;;;
23/07/2023;00:10:59;27;109;277;;;;;;;;;;;;;;;;
23/07/2023;00:11:01;76;109;278;;;;;;;;;;;;;;;;
23/07/2023;00:11:03;59;109;279;;;;;;;;;;;;;;;;
23/07/2023;00:11:05;62;109;280;;;;;;;;;;;;;;;;
23/07/2023;00:11:07;62;109;281;;;;;;;;;;;;;;;;
23/07/2023;00:11:10;80;109;282;;;;;;;;;;;;;;;;
23/07/2023;00:11:11;37;109;283;;;;;;;;;;;;;;;;
23/07/2023;00:11:12;54;109;284;;;;;;;;;;;;;;;;
23/07/2023;00:11:16;86;109;285;;;;;;;;;;;;;;;;
23/07/2023;00:11:18;54;109;286;;;;;;;;;;;;;;;;
23/07/2023;00:11:21;87;109;287;;;;;;;;;;;;;;;;
23/07/2023;00:11:22;39;109;288;;;;;;;;;;;;;;;;
23/07/2023;00:11:24;62;109;289;;;;;;;;;;;;;;;;
23/07/2023;00:11:26;61;109;290;;;;;;;;;;;;;;;;
23/07/2023;00:11:27;41;109;291;;;;;;;;;;;;;;;;
23/07/2023;00:11:29;80;109;292;;;;;;;;;;;;;;;;
23/07/2023;00:11:32;87;109;293;;;;;;;;;;;;;;;;
23/07/2023;00:11:32;23;109;294;;;;;;;;;;;;;;;;
